lemma	word	grammemes
ААРОН	ААРОН	жр,0
ААРОН	ААРОНА	мр,ед,вн
ААРОН	ААРОНУ	мр,ед,дт
ААРОН	ААРОНОМ	мр,ед,тв
ААРОН	ААРОНЕ	мр,ед,пр
ААРОН	ААРОНЫ	мр-жр,мн,им
ААРОН	ААРОНОВ	мр-жр,мн,вн
ААРОН	ААРОНАМ	мр-жр,мн,дт
ААРОН	ААРОНАМИ	мр-жр,мн,тв
ААРОН	ААРОНАХ	мр-жр,мн,пр
АБАЗЕВ	АБАЗЕВ	мр,ед,им
АБАЗЕВА	АБАЗЕВА	жр,ед,им
АБАЗЕВА	АБАЗЕВУ	жр,ед,вн
АБАЗЕВ	АБАЗЕВЫМ	мр-жр,мн,дт
АБАЗЕВ	АБАЗЕВЕ	мр,ед,пр
АБАЗЕВ	АБАЗЕВЫ	мр-жр,мн,им
АБАЗЕВ	АБАЗЕВЫХ	мр-жр,мн,пр
АБАЗЕВ	АБАЗЕВЫМИ	мр-жр,мн,тв
АБАЗЕВА	АБАЗЕВОЙ	жр,ед,пр
АБАЗОВ	АБАЗОВ	мр,ед,им
АБАЗОВА	АБАЗОВА	жр,ед,им
АБАЗОВА	АБАЗОВУ	жр,ед,вн
АБАЗОВ	АБАЗОВЫМ	мр-жр,мн,дт
АБАЗОВ	АБАЗОВЕ	мр,ед,пр
АБАЗОВ	АБАЗОВЫ	мр-жр,мн,им
АБАЗОВ	АБАЗОВЫХ	мр-жр,мн,пр
АБАЗОВ	АБАЗОВЫМИ	мр-жр,мн,тв
АБАЗОВА	АБАЗОВОЙ	жр,ед,пр
АБАИМОВ	АБАИМОВ	мр,ед,им
АБАИМОВА	АБАИМОВА	жр,ед,им
АБАИМОВА	АБАИМОВУ	жр,ед,вн
АБАИМОВ	АБАИМОВЫМ	мр-жр,мн,дт
АБАИМОВ	АБАИМОВЕ	мр,ед,пр
АБАИМОВ	АБАИМОВЫ	мр-жр,мн,им
АБАИМОВ	АБАИМОВЫХ	мр-жр,мн,пр
АБАИМОВ	АБАИМОВЫМИ	мр-жр,мн,тв
АБАИМОВА	АБАИМОВОЙ	жр,ед,пр
АБАКАДЗЕ	АБАКАДЗЕ	мр-жр,0
АБАКУМОВ	АБАКУМОВ	мр,ед,им
АБАКУМОВА	АБАКУМОВА	жр,ед,им
АБАКУМОВА	АБАКУМОВУ	жр,ед,вн
АБАКУМОВ	АБАКУМОВЫМ	мр-жр,мн,дт
АБАКУМОВ	АБАКУМОВЕ	мр,ед,пр
АБАКУМОВ	АБАКУМОВЫ	мр-жр,мн,им
АБАКУМОВ	АБАКУМОВЫХ	мр-жр,мн,пр
АБАКУМОВ	АБАКУМОВЫМИ	мр-жр,мн,тв
АБАКУМОВА	АБАКУМОВОЙ	жр,ед,пр
АБАЛИХИН	АБАЛИХИН	мр,ед,им
АБАЛИХИНА	АБАЛИХИНА	жр,ед,им
АБАЛИХИНА	АБАЛИХИНУ	жр,ед,вн
АБАЛИХИН	АБАЛИХИНЫМ	мр-жр,мн,дт
АБАЛИХИН	АБАЛИХИНЕ	мр,ед,пр
АБАЛИХИН	АБАЛИХИНЫ	мр-жр,мн,им
АБАЛИХИН	АБАЛИХИНЫХ	мр-жр,мн,пр
АБАЛИХИН	АБАЛИХИНЫМИ	мр-жр,мн,тв
АБАЛИХИНА	АБАЛИХИНОЙ	жр,ед,пр
АБАЛКИН	АБАЛКИН	мр,ед,им
АБАЛКИНА	АБАЛКИНА	жр,ед,им
АБАЛКИНА	АБАЛКИНУ	жр,ед,вн
АБАЛКИН	АБАЛКИНЫМ	мр-жр,мн,дт
АБАЛКИН	АБАЛКИНЕ	мр,ед,пр
АБАЛКИН	АБАЛКИНЫ	мр-жр,мн,им
АБАЛКИН	АБАЛКИНЫХ	мр-жр,мн,пр
АБАЛКИН	АБАЛКИНЫМИ	мр-жр,мн,тв
АБАЛКИНА	АБАЛКИНОЙ	жр,ед,пр
АБАЛМАСОВ	АБАЛМАСОВ	мр,ед,им
АБАЛМАСОВА	АБАЛМАСОВА	жр,ед,им
АБАЛМАСОВА	АБАЛМАСОВУ	жр,ед,вн
АБАЛМАСОВ	АБАЛМАСОВЫМ	мр-жр,мн,дт
АБАЛМАСОВ	АБАЛМАСОВЕ	мр,ед,пр
АБАЛМАСОВ	АБАЛМАСОВЫ	мр-жр,мн,им
АБАЛМАСОВ	АБАЛМАСОВЫХ	мр-жр,мн,пр
АБАЛМАСОВ	АБАЛМАСОВЫМИ	мр-жр,мн,тв
АБАЛМАСОВА	АБАЛМАСОВОЙ	жр,ед,пр
АБАЛЫМОВ	АБАЛЫМОВ	мр,ед,им
АБАЛЫМОВА	АБАЛЫМОВА	жр,ед,им
АБАЛЫМОВА	АБАЛЫМОВУ	жр,ед,вн
АБАЛЫМОВ	АБАЛЫМОВЫМ	мр-жр,мн,дт
АБАЛЫМОВ	АБАЛЫМОВЕ	мр,ед,пр
АБАЛЫМОВ	АБАЛЫМОВЫ	мр-жр,мн,им
АБАЛЫМОВ	АБАЛЫМОВЫХ	мр-жр,мн,пр
АБАЛЫМОВ	АБАЛЫМОВЫМИ	мр-жр,мн,тв
